Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1664986239,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1664986240,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1664986241,30,,Aggregated,0.000000,0.000000,190,190,190,200,200,230,240,240,240,240,240,30,0,180.0,176.87616969148317,55.91966584324837,236.99673637747765,5035.0
1664986242,40,,Aggregated,0.000000,0.000000,190,190,190,200,200,230,240,240,240,240,240,30,0,180.0,176.87616969148317,55.91966584324837,236.99673637747765,5035.0
1664986243,50,,Aggregated,0.000000,0.000000,190,190,190,200,200,230,240,240,240,240,240,30,0,180.0,176.87616969148317,55.91966584324837,236.99673637747765,5035.0
1664986244,60,,Aggregated,13.666667,0.000000,140,170,180,190,200,220,230,240,240,240,240,145,0,140.0,141.97742584450492,55.91966584324837,237.1968850493431,5035.0
1664986245,70,,Aggregated,13.666667,0.000000,140,170,180,190,200,220,230,240,240,240,240,145,0,140.0,141.97742584450492,55.91966584324837,237.1968850493431,5035.0
1664986246,77,,Aggregated,13.666667,0.000000,140,170,180,190,200,220,230,240,240,240,240,145,0,140.0,141.97742584450492,55.91966584324837,237.1968850493431,5035.0
1664986247,89,,Aggregated,27.000000,0.000000,140,160,180,190,220,240,310,350,390,390,390,325,0,140.0,146.87405030314738,55.91966584324837,394.79946345090866,5035.0
1664986248,99,,Aggregated,27.000000,0.000000,140,160,180,190,220,240,310,350,390,390,390,325,0,140.0,146.87405030314738,55.91966584324837,394.79946345090866,5035.0
1664986249,110,,Aggregated,27.000000,0.000000,140,160,180,190,220,240,310,350,390,390,390,325,0,140.0,146.87405030314738,55.91966584324837,394.79946345090866,5035.0
1664986250,118,,Aggregated,39.111111,0.000000,170,200,230,250,320,360,410,440,520,520,520,561,0,170.0,186.18973233668987,55.91966584324837,515.0510519742966,5035.0
1664986251,128,,Aggregated,39.111111,0.000000,170,200,230,250,320,360,410,440,520,520,520,561,0,170.0,186.18973233668987,55.91966584324837,515.0510519742966,5035.0
1664986252,138,,Aggregated,39.111111,0.000000,170,200,230,250,320,360,410,440,520,520,520,561,0,170.0,186.18973233668987,55.91966584324837,515.0510519742966,5035.0
1664986253,147,,Aggregated,57.900000,0.000000,210,290,340,370,450,500,550,620,840,840,840,829,0,210.0,247.56830783315965,55.91966584324837,839.8783393204212,5035.0
1664986254,160,,Aggregated,57.900000,0.000000,210,290,340,370,450,500,550,620,840,840,840,829,0,210.0,247.56830783315965,55.91966584324837,839.8783393204212,5035.0
1664986255,166,,Aggregated,57.900000,0.000000,210,290,340,370,450,500,550,620,840,840,840,829,0,210.0,247.56830783315965,55.91966584324837,839.8783393204212,5035.0
1664986256,179,,Aggregated,75.700000,0.000000,290,400,450,480,560,670,800,920,1200,1200,1200,1115,0,290.0,325.8612945642439,55.91966584324837,1222.0911644399166,5035.0
1664986257,188,,Aggregated,75.700000,0.000000,290,400,450,480,560,670,800,920,1200,1200,1200,1115,0,290.0,325.8612945642439,55.91966584324837,1222.0911644399166,5035.0
1664986258,197,,Aggregated,75.700000,0.000000,290,400,450,480,560,670,800,920,1200,1200,1200,1115,0,290.0,325.8612945642439,55.91966584324837,1222.0911644399166,5035.0
1664986259,209,,Aggregated,87.900000,0.000000,380,480,550,620,810,1000,1300,1500,2600,2700,2700,1403,0,380.0,429.6112291737913,55.91966584324837,2666.9022664427757,5035.0
1664986260,219,,Aggregated,87.900000,0.000000,380,480,550,620,810,1000,1300,1500,2600,2700,2700,1403,0,380.0,429.6112291737913,55.91966584324837,2666.9022664427757,5035.0
1664986261,229,,Aggregated,87.900000,0.000000,380,480,550,620,810,1000,1300,1500,2600,2700,2700,1403,0,380.0,429.6112291737913,55.91966584324837,2666.9022664427757,5035.0
1664986262,239,,Aggregated,93.300000,0.000000,450,570,700,790,1100,1500,1800,2000,2700,2700,2700,1688,0,450.0,541.8414805477299,55.91966584324837,2721.971772611141,5035.0
1664986263,249,,Aggregated,93.300000,0.000000,450,570,700,790,1100,1500,1800,2000,2700,2700,2700,1688,0,450.0,541.8414805477299,55.91966584324837,2721.971772611141,5035.0
1664986264,260,,Aggregated,93.300000,0.000000,450,570,700,790,1100,1500,1800,2000,2700,2700,2700,1688,0,450.0,541.8414805477299,55.91966584324837,2721.971772611141,5035.0
1664986265,270,,Aggregated,95.000000,0.000000,490,680,850,990,1500,1800,2300,2600,3200,3200,3200,1971,0,490.0,659.041703862475,55.91966584324837,3226.756077259779,5035.0
1664986266,279,,Aggregated,95.000000,0.000000,490,680,850,990,1500,1800,2300,2600,3200,3200,3200,1971,0,490.0,659.041703862475,55.91966584324837,3226.756077259779,5035.0
1664986267,290,,Aggregated,95.000000,0.000000,490,680,850,990,1500,1800,2300,2600,3200,3200,3200,1971,0,490.0,659.041703862475,55.91966584324837,3226.756077259779,5035.0
1664986268,300,,Aggregated,95.100000,0.000000,560,830,1100,1300,1800,2300,2900,3100,3500,3700,3700,2250,0,560.0,796.9309155344963,55.91966584324837,3651.323288679123,5035.0
1664986269,310,,Aggregated,95.100000,0.000000,560,830,1100,1300,1800,2300,2900,3100,3500,3700,3700,2250,0,560.0,796.9309155344963,55.91966584324837,3651.323288679123,5035.0
1664986270,319,,Aggregated,95.100000,0.000000,560,830,1100,1300,1800,2300,2900,3100,3500,3700,3700,2250,0,560.0,796.9309155344963,55.91966584324837,3651.323288679123,5035.0
1664986271,330,,Aggregated,94.200000,0.000000,650,1000,1400,1600,2100,2700,3200,3300,4100,4300,4300,2514,0,650.0,938.8464262669013,55.91966584324837,4276.6964845359325,5035.0
1664986272,339,,Aggregated,94.200000,0.000000,650,1000,1400,1600,2100,2700,3200,3300,4100,4300,4300,2514,0,650.0,938.8464262669013,55.91966584324837,4276.6964845359325,5035.0
1664986273,350,,Aggregated,94.200000,0.000000,650,1000,1400,1600,2100,2700,3200,3300,4100,4300,4300,2514,0,650.0,938.8464262669013,55.91966584324837,4276.6964845359325,5035.0
1664986274,359,,Aggregated,91.900000,0.000000,740,1300,1600,1800,2500,3000,3400,3900,4800,5100,5100,2789,0,740.0,1084.0975827841016,55.91966584324837,5066.508486866951,5035.0
1664986275,370,,Aggregated,91.900000,0.000000,740,1300,1600,1800,2500,3000,3400,3900,4800,5100,5100,2789,0,740.0,1084.0975827841016,55.91966584324837,5066.508486866951,5035.0
1664986276,380,,Aggregated,91.900000,0.000000,740,1300,1600,1800,2500,3000,3400,3900,4800,5100,5100,2789,0,740.0,1084.0975827841016,55.91966584324837,5066.508486866951,5035.0
1664986277,389,,Aggregated,90.100000,0.000000,870,1500,1800,2000,2700,3200,3900,4300,5800,6300,6300,3035,0,870.0,1215.1977010599078,55.91966584324837,6276.819504797459,5035.0
