Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/models/resnet:predict,42439,0,1400.0,2205.0816126656005,60.86910516023636,5077.1315060555935,5035.0,142.55122703719908,0.0,1400,3900,4000,4000,4100,4200,4200,4300,4600,4900,5100
,Aggregated,42439,0,1400.0,2205.0816126656005,60.86910516023636,5077.1315060555935,5035.0,142.55122703719908,0.0,1400,3900,4000,4000,4100,4200,4200,4300,4600,4900,5100
