resnet,cpumemory,32,1,server,1,1, 106.35786809208064, 28.5794475038525, 28.72385472, 45.4660087808, 50.977525503900004, 53.70881456065, 56.034743210849996, 56.614294538234034
resnet,cpumemory,32,1,server,1,2, 106.71764965655976, 28.100651595892813, 28.1028238765, 44.759807862200006, 50.3822070737, 53.23540020069999, 55.53199471769, 56.33344446628503
resnet,cpumemory,32,1,server,1,3, 106.01917884022953, 28.748234195833984, 28.783487889, 45.7845050954, 51.3375384001, 54.05208128909999, 56.40133548616, 56.97071794295101
resnet,cpumemory,32,1,server,1,4, 105.99359756087088, 28.476740797604297, 28.4543433825, 45.4633547926, 51.3044504881, 54.101960588249995, 56.42091275265, 56.944026044708004
resnet,cpumemory,32,1,server,1,5, 106.07426162924916, 28.51763567901367, 28.5858050195, 45.406070266600004, 51.1632679839, 53.8899512306, 56.29442981489, 56.85537138439602
resnet,cpumemory,32,1,server,1,6, 106.0325435081921, 28.78847195365898, 28.904516015, 45.690004208000005, 51.2668064754, 54.013416938899994, 56.37254813095, 56.987868698048
resnet,cpumemory,32,1,server,1,7, 106.70133191027503, 28.134450800695394, 28.1000819155, 44.8550087344, 50.5018515367, 53.32355154365, 55.64497582496, 56.19400799893201
resnet,cpumemory,32,1,server,1,8, 107.22006342307516, 27.94826137895211, 27.963642270999998, 44.448722525, 50.04331053000001, 52.68678229114999, 55.04754368765, 55.68103468235901
resnet,cpumemory,32,1,server,1,9, 106.96444738285975, 28.10942679637352, 28.193812860999998, 44.7661909038, 50.3522024712, 53.00437756895, 55.24999209585, 56.015513752763056
resnet,cpumemory,32,1,server,1,10, 107.07059272824884, 28.022484293910235, 28.0986033405, 44.5483750012, 50.1401993294, 52.9265608404, 55.225962689730004, 55.797512490933
resnet,cpumemory,32,2,server,1,1, 160.71243969615483, 8.002556182414374, 8.041697325, 12.584836528000002, 14.0686601589, 14.90777835995, 15.55512534958, 15.942089628449004
resnet,cpumemory,32,2,server,1,2, 160.6888691113909, 8.006588978126405, 8.049598183, 12.6077668162, 14.093605896100001, 14.934524328449998, 15.538511291590002, 15.899970615158031
resnet,cpumemory,32,2,server,1,3, 158.61075191646898, 8.948991194724922, 9.002163913, 13.575679654000002, 15.0477280832, 15.968302374199999, 16.62248885683, 16.98004210362501
resnet,cpumemory,32,2,server,1,4, 158.73168000349636, 8.763655443778827, 8.8282392845, 13.448812488200002, 14.9196926333, 15.769829904199996, 16.56587337688, 16.955887244855003
resnet,cpumemory,32,2,server,1,5, 158.47019432698153, 8.942103415806171, 8.996523139499999, 13.587549154200001, 15.1008209833, 15.860399671649999, 16.69943705405, 17.034244307993003
resnet,cpumemory,32,2,server,1,6, 158.02018059709505, 9.035578418511406, 9.0470864945, 13.660224822200005, 15.2835098741, 16.081384281899997, 16.97659548157, 17.438912032458
resnet,cpumemory,32,2,server,1,7, 158.48681052166307, 8.849979249533906, 8.8798748715, 13.5635075626, 15.0974889074, 15.833945614049998, 16.66792152842, 17.195943775253006
resnet,cpumemory,32,2,server,1,8, 158.6582364270506, 8.685388416187422, 8.766258086499999, 13.3612617274, 14.9305438836, 15.707626577649998, 16.531599586410003, 16.97449273618101
resnet,cpumemory,32,2,server,1,9, 158.83083568148854, 8.719937745657266, 8.860298971999999, 13.392007448800001, 14.903422402, 15.661980052199999, 16.54731222448, 16.952598243996007
resnet,cpumemory,32,2,server,1,10, 159.18503567494645, 8.702534817249218, 8.791622446, 13.368176722000001, 14.8509879528, 15.6349048962, 16.321361118400002, 16.758125192228015
resnet,cpumemory,32,4,server,1,1, 165.2166370738272, 6.555537456861407, 6.545581257, 10.310307339800001, 11.5447364879, 12.33183126045, 13.3626342479, 13.727009508235009
resnet,cpumemory,32,4,server,1,2, 164.9991867610289, 6.582205093545859, 6.5576514415, 10.325775665, 11.625320335400001, 12.3310506589, 13.420987239660002, 13.785630810931016
resnet,cpumemory,32,4,server,1,3, 164.3703567469952, 6.85253378490375, 6.8739131765, 10.6515175836, 11.8724942025, 12.580869604949998, 13.717866667470002, 14.135074124215011
resnet,cpumemory,32,4,server,1,4, 163.03602016726057, 7.475354109916015, 7.5034998615, 11.2720695852, 12.5196917467, 13.193549325499998, 14.258471952360003, 14.824477056575
resnet,cpumemory,32,4,server,1,5, 164.6495463651562, 6.813969658390078, 6.8560140700000005, 10.6023919488, 11.8598348664, 12.4368468923, 13.51459104577, 14.053610279665014
resnet,cpumemory,32,4,server,1,6, 164.78312845113555, 6.601759002086172, 6.605102005, 10.3491199454, 11.6139151184, 12.287371809949999, 13.517338375720001, 13.868041106412004
resnet,cpumemory,32,4,server,1,7, 165.2474297269085, 6.551855690259063, 6.571197510499999, 10.3444185296, 11.517566274100002, 12.253902067099999, 13.364943663940002, 13.696403896760003
resnet,cpumemory,32,4,server,1,8, 163.28724616148492, 7.577548709142734, 7.6365531575, 11.341860169800002, 12.583326810900001, 13.289704397549999, 14.15699405094, 14.729128450696
resnet,cpumemory,32,4,server,1,9, 163.61010004844084, 7.419751391541406, 7.446140664, 11.213210936200003, 12.436674069100002, 13.0894624106, 14.05528454747, 14.461354854515001
resnet,cpumemory,32,4,server,1,10, 164.7805141521443, 6.518166297009219, 6.487791995, 10.2247006882, 11.4193193986, 12.135459950949999, 13.521744720960001, 13.84790563488501
resnet,cpumemory,32,8,server,1,1, 166.70295692822657, 5.948401502326172, 5.96920323, 9.3132749558, 10.3846939361, 11.058552408149998, 12.218771190950006, 13.138692694282003
