Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/models/resnet:predict,7314,0,17000.0,17028.030827526378,151.46290138363838,37813.32449242473,20056.0,24.376673644687223,0.0,17000,19000,20000,21000,25000,28000,31000,33000,37000,38000,38000
,Aggregated,7314,0,17000.0,17028.030827526378,151.46290138363838,37813.32449242473,20056.0,24.376673644687223,0.0,17000,19000,20000,21000,25000,28000,31000,33000,37000,38000,38000
