Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/models/resnet:predict,232,232,10,10.58387825393985,9.795136749744415,14.651495963335037,0.0,0.8682360673873982,0.8682360673873982,10,11,11,11,12,12,13,13,15,15,15
,Aggregated,232,232,10,10.58387825393985,9.795136749744415,14.651495963335037,0.0,0.8682360673873982,0.8682360673873982,10,11,11,11,12,12,13,13,15,15,15
