benchmark,k8senv,sbatch,numctn,cscenario,cbatch,reps,qps,mean,p50,p80,p90,p95,p99,p999
resnet,cpumem,16,1,offline,10,10, 99.40341891867969, 124.35742743660785, 124.177136153, 198.294184741, 223.243890661, 235.622537553, 245.45758416275, 247.190364901
resnet,cpumem,16,2,offline,10,10, 108.55918151845354, 113.19096512630828, 113.083462451, 180.714017485, 202.912486488, 214.119728418, 222.90291515875, 226.314672445
resnet,cpumem,16,4,offline,10,10, 106.36545398342665, 115.14619897571045, 114.90270028, 183.776140745, 206.522422683, 217.963198869, 227.1349987835, 230.65190049799997
resnet,cpumem,16,8,offline,10,10, 104.11799303222297, 117.77562832887459, 117.477931714, 187.7540774, 211.31231232, 223.032528574, 232.49100253225, 235.74891182300001
resnet,cpumem,16,16,offline,10,10, 105.73770722091625, 115.23473688353988, 115.158249948, 183.710011905, 206.337696127, 217.825399742, 226.837600431, 231.15739516399998
