Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/models/resnet:predict,42599,0,1500.0,2154.7163320540144,151.56225487589836,4951.398950070143,5035.0,141.9312772077639,0.0,1500,3000,3700,3800,4000,4200,4300,4400,4700,4900,5000
,Aggregated,42599,0,1500.0,2154.7163320540144,151.56225487589836,4951.398950070143,5035.0,141.9312772077639,0.0,1500,3000,3700,3800,4000,4200,4300,4400,4700,4900,5000
