benchmark,k8senv,sbatch,numctn,cscenario,cbatch,reps,qps,mean,p50,p80,p90,p95,p99,p999
resnet,none,0,1,offline,10,10, 143.593108660711, 86.86478656280127, 86.6337156, 138.602509252, 155.287678247, 163.773011169, 170.44233246375, 171.104010947
resnet,none,0,2,offline,10,10, 182.80676951745625, 70.04717724091267, 70.112081282, 109.306289156, 122.374341484, 128.855411046, 133.92979359275, 134.40569935
resnet,none,0,4,offline,10,10, 181.073983310501, 71.07615209958048, 71.405155695, 110.599750951, 123.50740541, 130.06474063, 135.19128683875, 135.65700972
resnet,none,0,8,offline,10,10, 182.4962413047837, 68.98923617253702, 68.925107098, 108.761990818, 121.88192106, 128.66805671, 133.71783981175, 134.6049196
resnet,none,0,16,offline,10,10, 178.76990007045492, 70.08163604041219, 70.244820077, 110.496415863, 123.947410752, 130.774218722, 135.99239266, 137.14135667
resnet,none,0,32,offline,10,10, 168.85917831797045, 73.80662266612134, 74.051937777, 117.017456243, 131.33057071, 138.186331618, 143.73939056875, 144.951359211
