Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/models/resnet:predict,10713,0,15000.0,11327.034831098175,214.6388404071331,21617.69014596939,20056.0,35.68589910155273,0.0,15000,16000,17000,17000,18000,18000,19000,19000,20000,21000,22000
,Aggregated,10713,0,15000.0,11327.034831098175,214.6388404071331,21617.69014596939,20056.0,35.68589910155273,0.0,15000,16000,17000,17000,18000,18000,19000,19000,20000,21000,22000
