benchmark,k8senv,sbatch,numctn,cscenario,cbatch,reps,qps,mean,p50,p80,p90,p95,p99,p999
resnet,none,128,1,offline,10,10, 147.07014298502736, 85.10814821110458, 85.241000946, 135.034640357, 151.450796175, 159.802504969, 166.452461181, 167.065768934
resnet,none,128,2,offline,10,10, 180.4200902072664, 71.74986800638705, 72.191980277, 111.159464565, 124.281075277, 130.736137095, 135.73671514724998, 136.16155269
resnet,none,128,4,offline,10,10, 181.9158968415145, 70.41583389379484, 70.831433161, 109.86946782, 122.739224066, 129.240796713, 134.30956087175, 135.033150389
resnet,none,128,8,offline,10,10, 180.5209939020812, 70.52851367267708, 70.658645885, 110.272676309, 123.301520282, 129.953397628, 135.0230989645, 135.968471958
resnet,none,128,16,offline,10,10, 177.47093993498854, 70.49185415430345, 70.642794916, 111.000667341, 124.394503598, 131.19041586, 136.35262491075, 137.984875424
resnet,none,128,32,offline,10,10, 167.08248055904434, 74.35250836272705, 74.188406884, 117.718084824, 132.278214355, 139.837122636, 145.520979722, 146.341383171
