Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/models/resnet:predict,10738,0,15000.0,11336.400800827432,297.9587987065315,18809.655029326677,20056.0,35.75814534442144,0.0,15000,16000,16000,16000,17000,17000,17000,18000,18000,19000,19000
,Aggregated,10738,0,15000.0,11336.400800827432,297.9587987065315,18809.655029326677,20056.0,35.75814534442144,0.0,15000,16000,16000,16000,17000,17000,17000,18000,18000,19000,19000
