Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/models/resnet:predict,43413,0,2400.0,2417.1051292157213,1226.031869649887,8639.190055429935,5035.0,145.8646394302687,0.0,2400,2600,2700,2800,3300,3400,3500,4300,6800,8000,8600
,Aggregated,43413,0,2400.0,2417.1051292157213,1226.031869649887,8639.190055429935,5035.0,145.8646394302687,0.0,2400,2600,2700,2800,3300,3400,3500,4300,6800,8000,8600
